run_name,lr,batch_size,base_filters,accuracy,precision,recall,f1,roc_auc
default_run,0.001,32,16,0.935024,0.651685,0.852941,0.738854,0.963301
run_lr1em03_bs16_bf16,0.001,16,16,0.974643,0.933333,0.823529,0.875000,0.973723
run_lr1em03_bs16_bf32,0.001,16,32,0.938193,0.662921,0.867647,0.751592,0.966200
run_lr1em03_bs32_bf16,0.001,32,16,0.920761,0.584906,0.911765,0.712644,0.962125
run_lr1em03_bs32_bf32,0.001,32,32,0.917591,0.580000,0.852941,0.690476,0.960192
run_lr5em04_bs16_bf16,0.0005,16,16,0.961965,0.854839,0.779412,0.815385,0.955752
run_lr5em04_bs16_bf32,0.0005,16,32,0.954041,0.760000,0.838235,0.797203,0.971163
run_lr5em04_bs32_bf16,0.0005,32,16,0.941363,0.682353,0.852941,0.758170,0.954028
run_lr5em04_bs32_bf32,0.0005,32,32,0.930269,0.622449,0.897059,0.734940,0.967924
